country	population	area	gdp	ind
China	1319498000	9640821                           2630113	ind    
India	1169016000	3287263                           886867        ind
USA	302425000	9629091                           13244550      ind
Indonesia	231627000	1904569                   364239        ind
Brazil	186736000	8514877                           1067706       ind
Pakistan	160757000	880254                    128996        ind
Bangladesh	158665000	143998                    65216         ind
Nigeria	148093000	923768                            115350        ind
Russia	142499000	17098242                          979048        ind
Japan	127750000	377873                            4367459       ind
Mexico	103263388	1958201                           840012        ind
Philippines	88706300	300000                    116931        ind
Vietnam	87375000	331689                            60995         ind
Germany	82314900	357022                            2897032       ind
Ethiopia	77127000	1104300                   13315         ind
Egypt	75498000	1001449                           107375        ind
Turkey	74877000	783562                            392424        ind
Iran	71208000	1648195                           212492        ind
France	64102140	551500                            2231631       ind
Thailand	62828706	513115                    206258        ind
"Dem. Rep. of Congo"	62636000	2344858           8543          ind
UK	60209500	242900                            2373685       ind
Italy	59131287	301318                            1852585       ind
Myanmar	48798000	676578                            13002         ind
"South Africa"	48577000	1221037                   255155        ind
"South Korea"	48472700	99538                     888267        ind
Ukraine	46205000	603700                            106072        ind
Spain	45116894	505992                            1225750       ind
Colombia	43964602	1138914                   135075        ind
Tanzania	40454000	945087                    12787         ind
Argentina	39531000	2780400                   212702        ind
Sudan	38560000	2505813                           37564         ind
Poland	38125479	312685                            338689        ind
Kenya	37538000	580367                            23187         ind
Algeria	33858000	2381741                           114322        ind
Canada	32977500	9970610                           1269096       ind
Morocco	31224000	446550                            57407         ind
Uganda	30884000	241038                            9443          ind
Iraq	28993000	438317                            NA            ind
Nepal	28196000	147181                            7994          ind
Peru	27903000	1285216                           93268         ind
Venezuela	27657000	912050                    181608        ind
Uzbekistan	27372000	447400                    16088         ind
Malaysia	27199388	329847                    150923        ind
Afghanistan	27145000	652090                    8399          ind
"Saudi Arabia"	24735000	2149690                   348604        ind
"North Korea"	23790000	120538                    NA            ind
Ghana	23478000	238533                            12894         ind
Taiwan	22910000	36188                             355708        ind
Yemen	22389000	527968                            18700         ind
Romania	21438000	238391                            121901        ind
Mozambique	21397000	801590                    7296          ind
Australia	21018897	83858                     754816        ind
Syria	19929000	185180                            31505         ind
Madagascar	19683000	587041                    5489          ind
"Sri Lanka"	19299000	65610                     26794         ind
"C?te d'Ivoire"	19262000	322463                    17339         ind
Cameroon	18549000	475442                    18372         ind
Angola	17024000	1246700                           43759         ind
Chile	16598074	756096                            145205        ind
Netherlands	16374716	41528                     663119        ind
Kazakhstan	15422000	2724900                   77237         ind
"Burkina Faso"	14784000	274000                    6055          ind
Cambodia	14444000	181035                    7096          ind
Niger	14226000	1267000                           3550          ind
Malawi	13925000	118484                            2238          ind
Guatemala	13354000	108889                    35304         ind
Zimbabwe	13349000	390757                    5540          ind
Ecuador	13341000	283561                            40447         ind
Senegal	12379000	196722                            9242          ind
Mali	12337000	1240192                           6191          ind
Zambia	11922000	752618                            10942         ind
Cuba	11268000	110861                            NA            ind
Greece	11147000	131957                            307709        ind
Chad	10781000	1284000                           6547          ind
Portugal	10623000	91982                     194989        ind
Belgium	10457000	30528                             39359         ind
Tunisia	10327000	163610                            3062          ind
"Czech Republic"	10306709	78866             141801        ind
Hungary	10030000	93032                             114273        ind
Serbia	9858000	88361                                     31589         ind
"Dominican Republic"	9760000	48671                     31600         ind
Rwanda	9725000	26338                                     2397          ind
Belarus	9689000	207600                                    36944         ind
